Ticker,Date,StockPrice,BookValuePerShare,PB
TM,2024-01-01,220.73000000000002,,1.24
TM,2025-01-01,181.49,,1.04
IBM,2010-01-01,75.1075,,4.2325
IBM,2011-01-01,99.495,,5.35
IBM,2012-01-01,117.145,,6.4975000000000005
IBM,2013-01-01,115.3775,,6.335
IBM,2014-01-01,109.8825,,7.3275
IBM,2015-01-01,94.58250000000001,,6.8725000000000005
IBM,2016-01-01,101.855,,5.8525
IBM,2017-01-01,105.2575,,5.2725
IBM,2018-01-01,97.6925,,4.805
IBM,2019-01-01,102.5625,,4.99
IBM,2020-01-01,92.4225,,3.9725
IBM,2021-01-01,113.325,,4.8025
IBM,2022-01-01,118.2825,,5.297499999999999
IBM,2023-01-01,133.215,,5.4125
IBM,2024-01-01,196.1975,,7.2875
IBM,2025-01-01,263.9866666666666,,8.973333333333333
CRM,2010-01-01,22.5625,,9.915000000000001
CRM,2011-01-01,33.8025,,13.4175
CRM,2012-01-01,33.635,,10.1725
CRM,2013-01-01,44.92,,10.165
CRM,2014-01-01,57.1025,,10.685
CRM,2015-01-01,69.4625,,10.42
CRM,2016-01-01,74.55250000000001,,8.715
CRM,2017-01-01,88.81,,7.7525
CRM,2018-01-01,126.2175,,7.645
CRM,2019-01-01,155.7125,,6.5625
CRM,2020-01-01,191.17,,4.68
CRM,2021-01-01,247.20999999999998,,4.8125
CRM,2022-01-01,187.155,,3.1525
CRM,2023-01-01,196.3275,,3.4325
CRM,2024-01-01,273.2525,,4.475
CRM,2025-01-01,283.2633333333333,,4.463333333333334
ABT,2010-01-01,17.2925,,1.255
ABT,2011-01-01,18.785,,1.1675
ABT,2012-01-01,24.165,,1.4649999999999999
ABT,2013-01-01,28.064999999999998,,1.85
ABT,2014-01-01,33.5525,,2.2075
ABT,2015-01-01,37.245000000000005,,2.5225
ABT,2016-01-01,34.182500000000005,,2.4175
ABT,2017-01-01,44.06,,2.42
ABT,2018-01-01,58.8725,,3.3325
ABT,2019-01-01,75.13,,4.2
ABT,2020-01-01,88.7275,,4.98
ABT,2021-01-01,114.61,,5.8549999999999995
ABT,2022-01-01,101.99000000000001,,4.91
ABT,2023-01-01,100.03,,4.595
ABT,2024-01-01,108.7875,,4.5649999999999995
ABT,2025-01-01,132.97,,4.6066666666666665
AZN,2010-01-01,13.455,,0.4
AZN,2011-01-01,14.0525,,0.3875
AZN,2012-01-01,14.74,,0.3975
AZN,2013-01-01,17.697499999999998,,0.55
AZN,2014-01-01,24.895,,1.5575
AZN,2015-01-01,24.3175,,3.4625
AZN,2016-01-01,22.8525,,3.6575
AZN,2017-01-01,27.0125,,4.395
AZN,2018-01-01,31.035,,4.02
AZN,2019-01-01,38.292500000000004,,1.9575
AZN,2020-01-01,45.29,,1.885
AZN,2021-01-01,52.4175,,1.06
AZN,2022-01-01,60.05500000000001,,1.34
AZN,2023-01-01,66.39750000000001,,1.2875
AZN,2024-01-01,71.07249999999999,,0.0
AZN,2025-01-01,72.64999999999999,,0.0
MS,2010-01-01,18.655,,0.445
MS,2011-01-01,14.215,,0.375
MS,2012-01-01,12.7675,,0.37
MS,2013-01-01,19.2775,,0.5575
MS,2014-01-01,25.4325,,0.6900000000000001
MS,2015-01-01,25.9325,,0.665
MS,2016-01-01,24.137500000000003,,0.5875
MS,2017-01-01,36.9575,,0.8475
MS,2018-01-01,37.57,,0.815
MS,2019-01-01,37.0375,,0.735
MS,2020-01-01,42.32,,0.7475
MS,2021-01-01,79.35,,1.3425
MS,2022-01-01,73.39,,1.225
MS,2023-01-01,80.91,,1.3225
MS,2024-01-01,101.89500000000001,,1.5975
MS,2025-01-01,131.91666666666666,,1.9400000000000002
NVS,2010-01-01,25.3975,,0.9450000000000001
NVS,2011-01-01,27.705,,0.9975
NVS,2012-01-01,29.98,,1.0975000000000001
NVS,2013-01-01,39.5625,,1.365
NVS,2014-01-01,49.67,,1.7
NVS,2015-01-01,52.9525,,1.22
NVS,2016-01-01,45.14,,1.4575
NVS,2017-01-01,50.082499999999996,,1.225
NVS,2018-01-01,52.182500000000005,,1.5875
NVS,2019-01-01,66.565,,2.9425
NVS,2020-01-01,67.8225,,2.86
NVS,2021-01-01,69.655,,2.7525
NVS,2022-01-01,71.28,,2.5225
NVS,2023-01-01,88.3,,3.9299999999999997
NVS,2024-01-01,100.27000000000001,,4.7675
NVS,2025-01-01,116.13666666666667,,5.53
UNH,2010-01-01,26.3175,,1.155
UNH,2011-01-01,39.03,,1.5025
UNH,2012-01-01,46.41,,1.5899999999999999
UNH,2013-01-01,56.015,,1.77
UNH,2014-01-01,74.11,,2.195
UNH,2015-01-01,101.61,,2.94
UNH,2016-01-01,124.4125,,3.215
UNH,2017-01-01,169.7975,,3.51
UNH,2018-01-01,219.065,,4.0525
UNH,2019-01-01,228.8725,,3.7975
UNH,2020-01-01,280.25,,4.0275
UNH,2021-01-01,392.4175,,5.095
UNH,2022-01-01,491.3275,,5.8975
UNH,2023-01-01,480.2575,,4.984999999999999
UNH,2024-01-01,514.835,,4.915
UNH,2025-01-01,382.34999999999997,,3.45
LIN,2010-01-01,64.985,,3.3075
LIN,2011-01-01,78.9075,,3.7775
LIN,2012-01-01,85.69749999999999,,4.1
LIN,2013-01-01,95.6075,,4.27
LIN,2014-01-01,106.775,,4.59
LIN,2015-01-01,92.895,,5.2675
