Ticker,Date,StockPrice,NetEPS,PE
COP,2010-01-01,25.925,,4.3375
COP,2011-01-01,34.635,,4.2025
COP,2012-01-01,37.25,,4.6625
COP,2013-01-01,44.3825,,6.8125
COP,2014-01-01,53.345,,7.755000000000001
COP,2015-01-01,40.2475,,7.895
COP,2016-01-01,33.995,,0.0
COP,2017-01-01,38.9375,,0.0
COP,2018-01-01,53.682500000000005,,9.067499999999999
COP,2019-01-01,50.845,,7.85
COP,2020-01-01,30.6425,,6.324999999999999
COP,2021-01-01,55.4675,,18.465
COP,2022-01-01,93.3925,,7.547499999999999
COP,2023-01-01,104.3875,,10.4375
COP,2024-01-01,108.6425,,12.77
COP,2025-01-01,98.365,,12.5
DASH,2021-01-01,177.44,,0.0
DASH,2022-01-01,69.9075,,0.0
DASH,2023-01-01,79.58500000000001,,0.0
DASH,2024-01-01,139.245,,155.325
DASH,2025-01-01,226.88,,294.65
SNPS,2010-01-01,22.8375,,14.405
SNPS,2011-01-01,26.325,,21.1725
SNPS,2012-01-01,30.4175,,23.6825
SNPS,2013-01-01,35.6175,,24.490000000000002
SNPS,2014-01-01,39.0575,,24.6875
SNPS,2015-01-01,47.6725,,31.372500000000002
SNPS,2016-01-01,50.9725,,32.775
SNPS,2017-01-01,74.92,,53.045
SNPS,2018-01-01,89.27000000000001,,189.715
SNPS,2019-01-01,120.735,,31.585
SNPS,2020-01-01,179.4275,,49.455
SNPS,2021-01-01,280.92,,58.095
SNPS,2022-01-01,314.33500000000004,,50.1325
SNPS,2023-01-01,411.5775,,61.9625
SNPS,2024-01-01,533.9675,,52.425
SNPS,2025-01-01,534.94,,38.93333333333333
SNY,2010-01-01,18.0325,,4.855
SNY,2011-01-01,20.6575,,6.6225000000000005
SNY,2012-01-01,22.625,,7.029999999999999
SNY,2013-01-01,32.27,,13.56
SNY,2014-01-01,34.52,,17.18
SNY,2015-01-01,32.54,,18.915
SNY,2016-01-01,27.7925,,12.8275
SNY,2017-01-01,33.307500000000005,,8.615
