Ticker,Year,MarketCap
CAT,2013,29688968479.561584
CAT,2014,35301873509.046745
CAT,2015,28481109467.01897
CAT,2016,29709305648.993168
CAT,2017,43967335429.59128
CAT,2018,57711639702.56933
CAT,2019,54438802777.62751
CAT,2020,58848492931.31554
CAT,2021,91583613786.45201
CAT,2022,90571335091.65167
CAT,2023,112475225065.8369
UBER,2019,74110966238.46175
UBER,2020,74056727509.10098
UBER,2021,101372350380.22122
UBER,2022,61211315109.28188
UBER,2023,87129099193.09163
RY,2010,42193531494.122604
RY,2011,43703097782.58978
RY,2012,46779585741.7627
RY,2013,55319498936.826515
RY,2014,63716357751.83231
RY,2015,57018244380.94059
RY,2016,59517161835.851364
RY,2017,76677536446.86969
RY,2018,82190415988.96593
RY,2019,86476755979.3215
RY,2020,82898550461.17757
RY,2021,118098921356.95877
RY,2022,125918295207.2167
RY,2023,121759062981.71526
NOW,2012,6475004791.778677
NOW,2013,8788051191.9265
NOW,2014,12429235684.513334
NOW,2015,15991669990.930305
NOW,2016,14914152268.900583
NOW,2017,21842624077.967457
NOW,2018,36043728443.09754
NOW,2019,52887668483.170555
NOW,2020,84876898230.17119
NOW,2021,119321659080.42229
NOW,2022,97329159782.37585
NOW,2023,110924795062.69087
VZ,2010,57992750868.791855
VZ,2011,76103943656.87779
VZ,2012,91859039326.9336
VZ,2013,111214365270.9961
VZ,2014,116002344796.66574
VZ,2015,117789616415.66685
VZ,2016,134522776632.25447
VZ,2017,132024730720.32184
VZ,2018,149577160408.85287
VZ,2019,174009377477.67856
VZ,2020,180529802176.8852
VZ,2021,180503370354.70145
VZ,2022,158681735545.27982
VZ,2023,132797934928.65234
BKNG,2010,8893611682.988575
BKNG,2011,15728569575.59237
BKNG,2012,20178511002.842873
BKNG,2013,28098168814.204624
BKNG,2014,38339711328.10015
BKNG,2015,39041241547.5102
BKNG,2016,43100382412.96626
BKNG,2017,57548391079.15992
BKNG,2018,63012590700.94996
BKNG,2019,59884672649.43586
BKNG,2020,55734126788.42175
BKNG,2021,73376656213.98404
BKNG,2022,65909103120.75828
BKNG,2023,89848724318.9086
HDB,2010,34499087547.9681
HDB,2011,35525623594.8316
HDB,2012,39372460583.80994
HDB,2013,41864906917.65641
HDB,2014,51640047930.71631
HDB,2015,69270815503.34343
HDB,2016,75899394576.04872
HDB,2017,101754643323.37424
HDB,2018,118044205403.272
HDB,2019,137647293522.90387
HDB,2020,124362384228.08842
HDB,2021,177983540601.5944
HDB,2022,151607422326.58627
HDB,2023,162064928850.28864
ANET,2014,5797686746.135138
ANET,2015,5572588198.371408
ANET,2016,5825866851.968582
ANET,2017,12518077957.947056
ANET,2018,20283240552.773766
ANET,2019,19405923393.02059
ANET,2020,17636761466.316925
ANET,2021,29087984065.858524
ANET,2022,37276649070.758286
ANET,2023,53510775857.07452
SCHW,2010,24646784561.55577
SCHW,2011,23124465733.170303
SCHW,2012,20482308251.827744
SCHW,2013,31884418254.023346
SCHW,2014,43472153486.88155
SCHW,2015,49956357276.75998
SCHW,2016,48588939573.216995
SCHW,2017,69374829012.54085
SCHW,2018,84480877457.63176
SCHW,2019,72158584638.29182
SCHW,2020,66966817175.668686
SCHW,2021,122379139902.21962
SCHW,2022,132085051948.89874
SCHW,2023,107444373414.16393
BLK,2010,18970530122.881348
BLK,2011,19294782965.4104
BLK,2012,20625430037.546497
BLK,2013,30919243558.30957
BLK,2014,37478959966.37402
BLK,2015,41725416112.114746
BLK,2016,43201921233.12305
BLK,2017,53614622099.861244
BLK,2018,63691721304.81079
BLK,2019,59660410807.86328
BLK,2020,76540613752.81993
BLK,2021,118499913393.85547
BLK,2022,98525781008.10428
