Ticker,Date,DebtToEquity
RBLX,2023-01-01,47.5775
RBLX,2024-01-01,56.685
RBLX,2025-01-01,24.13
BP,2010-01-01,1.715
BP,2011-01-01,1.675
BP,2012-01-01,1.5475
BP,2013-01-01,1.36
BP,2014-01-01,1.4275
BP,2015-01-01,1.6275
BP,2016-01-01,1.7525
BP,2017-01-01,1.7
BP,2018-01-01,1.7325
BP,2019-01-01,1.865
BP,2020-01-01,2.1275
BP,2021-01-01,2.105
BP,2022-01-01,2.6925
BP,2023-01-01,2.2275
BP,2024-01-01,2.3850000000000002
BP,2025-01-01,2.59
SE,2015-01-01,4.83
SE,2016-01-01,0.0
SE,2017-01-01,-1.33
SE,2018-01-01,20.9175
SE,2019-01-01,1.815
SE,2020-01-01,5.220000000000001
SE,2021-01-01,1.8225000000000002
SE,2022-01-01,2.135
SE,2023-01-01,1.755
SE,2024-01-01,1.75
SE,2025-01-01,1.63
ORLY,2010-01-01,0.6525
ORLY,2011-01-01,0.7975
ORLY,2012-01-01,1.3775
ORLY,2013-01-01,1.9899999999999998
ORLY,2014-01-01,2.14
ORLY,2015-01-01,2.335
ORLY,2016-01-01,3.1225
ORLY,2017-01-01,8.3225
ORLY,2018-01-01,18.1675
ORLY,2019-01-01,45.725
ORLY,2020-01-01,54.57
ORLY,2021-01-01,-476.95
ORLY,2022-01-01,-18.197499999999998
ORLY,2023-01-01,-8.955
ORLY,2024-01-01,-11.075
ORLY,2025-01-01,-13.055
HCA,2010-01-01,-3.445
HCA,2011-01-01,-4.172499999999999
HCA,2012-01-01,-4.7875
HCA,2013-01-01,-4.8500000000000005
HCA,2014-01-01,-5.7175
HCA,2015-01-01,-6.3175
HCA,2016-01-01,-6.485
HCA,2017-01-01,-7.875
HCA,2018-01-01,-11.3
HCA,2019-01-01,-39.755
HCA,2020-01-01,18.21
HCA,2021-01-01,25.8
HCA,2022-01-01,-176.8925
HCA,2023-01-01,136.35
HCA,2024-01-01,66.64500000000001
HCA,2025-01-01,-93.31
SHW,2010-01-01,2.12
SHW,2011-01-01,2.35
SHW,2012-01-01,2.48
SHW,2013-01-01,2.5325
SHW,2014-01-01,3.5725
SHW,2015-01-01,7.3675
SHW,2016-01-01,3.8274999999999997
SHW,2017-01-01,5.27
SHW,2018-01-01,4.3
SHW,2019-01-01,4.4675
SHW,2020-01-01,4.5375
SHW,2021-01-01,6.5125
SHW,2022-01-01,7.87
SHW,2023-01-01,5.4875
SHW,2024-01-01,5.155
SHW,2025-01-01,4.865
INTC,2010-01-01,0.2775
INTC,2011-01-01,0.455
INTC,2012-01-01,0.545
INTC,2013-01-01,0.6074999999999999
INTC,2014-01-01,0.6
INTC,2015-01-01,0.6475
INTC,2016-01-01,0.75
INTC,2017-01-01,0.7725
INTC,2018-01-01,0.785
INTC,2019-01-01,0.7675000000000001
INTC,2020-01-01,0.9099999999999999
INTC,2021-01-01,0.8325
INTC,2022-01-01,0.725
INTC,2023-01-01,0.79
INTC,2024-01-01,0.7925
INTC,2025-01-01,0.815
RCL,2010-01-01,1.4525000000000001
RCL,2011-01-01,1.3824999999999998
RCL,2012-01-01,1.3399999999999999
RCL,2013-01-01,1.335
RCL,2014-01-01,1.305
RCL,2015-01-01,1.5775000000000001
RCL,2016-01-01,1.605
RCL,2017-01-01,1.215
RCL,2018-01-01,1.3399999999999999
RCL,2019-01-01,1.5275
RCL,2020-01-01,2.63
RCL,2021-01-01,3.8525
RCL,2022-01-01,9.115
RCL,2023-01-01,7.6175
RCL,2024-01-01,4.6275
RCL,2025-01-01,3.3600000000000003
NOC,2010-01-01,1.3225
NOC,2011-01-01,1.19
NOC,2012-01-01,1.4575
NOC,2013-01-01,1.7574999999999998
NOC,2014-01-01,1.7725
NOC,2015-01-01,3.0875
NOC,2016-01-01,3.3875
NOC,2017-01-01,3.485
NOC,2018-01-01,3.46
NOC,2019-01-01,3.42
NOC,2020-01-01,3.4325
NOC,2021-01-01,2.6775
NOC,2022-01-01,2.0375
NOC,2023-01-01,1.96
NOC,2024-01-01,2.2975
NOC,2025-01-01,2.22
GD,2010-01-01,1.4
GD,2011-01-01,1.47
GD,2012-01-01,1.6575
GD,2013-01-01,1.8
GD,2014-01-01,1.7075
GD,2015-01-01,2.0075
GD,2016-01-01,2.0
GD,2017-01-01,2.08
GD,2018-01-01,2.66
GD,2019-01-01,2.6875
GD,2020-01-01,2.5975
GD,2021-01-01,2.1774999999999998
GD,2022-01-01,1.85
GD,2023-01-01,1.67
GD,2024-01-01,1.5325
GD,2025-01-01,1.48
NTES,2010-01-01,0.18
NTES,2011-01-01,0.1825
NTES,2012-01-01,0.19
NTES,2013-01-01,0.175
NTES,2014-01-01,0.28250000000000003
NTES,2015-01-01,0.34750000000000003
