Ticker,Year,Volume
HSBC,2010,2719982.5396825396
HSBC,2011,2984924.603174603
HSBC,2012,1949623.6
HSBC,2013,1229821.4285714286
HSBC,2014,1601213.492063492
HSBC,2015,2032395.238095238
HSBC,2016,2882839.285714286
HSBC,2017,1648790.0398406375
HSBC,2018,1828088.047808765
HSBC,2019,2173844.4444444445
HSBC,2020,4088506.324110672
HSBC,2021,2056774.2063492064
HSBC,2022,3134306.7729083668
HSBC,2023,1975555.2
NVO,2010,2681154.761904762
NVO,2011,3205142.8571428573
NVO,2012,3570348.0
NVO,2013,3003198.412698413
NVO,2014,2637254.761904762
NVO,2015,2887160.3174603176
NVO,2016,4963715.873015873
NVO,2017,4056114.741035857
NVO,2018,3070845.418326693
NVO,2019,2839237.301587302
NVO,2020,2880599.209486166
NVO,2021,1990250.7936507936
NVO,2022,2991980.079681275
NVO,2023,3449967.2
INTU,2010,3676733.73015873
INTU,2011,2848381.746031746
INTU,2012,1970877.2
INTU,2013,2187793.6507936507
INTU,2014,1617462.3015873015
INTU,2015,1789223.0158730159
INTU,2016,1487765.0793650793
INTU,2017,1472435.856573705
INTU,2018,1546973.705179283
INTU,2019,1390106.746031746
INTU,2020,1368464.0316205535
INTU,2021,1309368.253968254
INTU,2022,1808713.1474103585
INTU,2023,1551969.2
SHEL,2010,1838693.849206349
SHEL,2011,2755484.146825397
SHEL,2012,2232020.904
SHEL,2013,2391456.9682539683
SHEL,2014,2362619.3293650793
SHEL,2015,4033822.9285714286
SHEL,2016,5078484.067460317
SHEL,2017,3488812.721115538
SHEL,2018,3625497.816733068
SHEL,2019,2681428.865079365
SHEL,2020,6699258.980237154
SHEL,2021,5167306.996031746
SHEL,2022,5084592.4860557765
SHEL,2023,4936137.28
RTX,2010,7543168.44047619
RTX,2011,7424649.825396826
RTX,2012,6598805.632
RTX,2013,5099514.087301588
RTX,2014,6067903.015873016
RTX,2015,7196744.357142857
RTX,2016,6907902.646825396
RTX,2017,4830532.824701196
RTX,2018,7340353.239043824
RTX,2019,5358466.841269841
RTX,2020,10367794.391304348
RTX,2021,5809950.396825396
RTX,2022,5252601.593625498
RTX,2023,6781325.6
GS,2010,10916550.793650793
GS,2011,6717975.0
GS,2012,5120835.2
GS,2013,3595223.015873016
GS,2014,2924637.698412698
GS,2015,2790862.301587302
GS,2016,3744333.73015873
GS,2017,3239077.689243028
GS,2018,3383131.075697211
GS,2019,2578574.206349206
GS,2020,3589678.2608695654
GS,2021,2737286.507936508
GS,2022,2626919.123505976
GS,2023,2342939.2
BX,2010,3397016.007936508
BX,2011,4072349.373015873
BX,2012,3381546.548
BX,2013,5050667.412698412
BX,2014,5078729.527777778
BX,2015,4692511.94047619
BX,2016,4724813.095238095
BX,2017,4107899.6015936253
BX,2018,5010150.996015936
BX,2019,5249989.285714285
BX,2020,4245343.083003952
BX,2021,3528846.4285714286
BX,2022,4844849.800796812
BX,2023,4795933.2
AXP,2010,10920330.952380951
AXP,2011,7886321.825396826
AXP,2012,5627033.6
AXP,2013,4762973.015873016
AXP,2014,3826864.6825396824
AXP,2015,6369389.285714285
AXP,2016,5556397.222222222
AXP,2017,3569399.203187251
AXP,2018,3676847.80876494
AXP,2019,3262663.888888889
AXP,2020,5244050.988142293
AXP,2021,3568821.4285714286
AXP,2022,3490309.9601593628
AXP,2023,3160315.6
DIS,2010,11964263.095238095
DIS,2011,11821111.507936507
DIS,2012,8927604.8
DIS,2013,7774559.920634921
DIS,2014,6677810.714285715
DIS,2015,8341311.111111111
DIS,2016,8126767.063492063
DIS,2017,7416448.207171314
DIS,2018,8040158.964143426
DIS,2019,10217799.603174603
DIS,2020,14627131.225296443
DIS,2021,10247796.031746032
DIS,2022,12732923.10756972
DIS,2023,13040488.4
MRK,2010,15969553.742063493
MRK,2011,17638418.468253966
MRK,2012,14032195.58
MRK,2013,15785495.837301588
MRK,2014,11001522.646825397
MRK,2015,11694978.825396825
MRK,2016,10672921.424603175
MRK,2017,10245494.756972112
MRK,2018,11879905.458167331
MRK,2019,10215832.48015873
MRK,2020,10760424.51778656
MRK,2021,12899511.706349207
MRK,2022,10589456.57370518
MRK,2023,7674508.0
T,2010,37405029.07936508
T,2011,38227821.515873015
T,2012,35484081.248
T,2013,31697200.98015873
T,2014,32690276.10714286
T,2015,37448692.20634921
T,2016,31246165.162698414
T,2017,33528419.003984064
T,2018,48190811.15139442
T,2019,39778832.34920635
T,2020,52663486.27272727
T,2021,57698434.20634921
T,2022,51065234.74103586
T,2023,38440583.6
PEP,2010,6962503.571428572
PEP,2011,7884057.936507937
PEP,2012,6302690.8
PEP,2013,5023105.158730159
PEP,2014,4785462.698412699
PEP,2015,4734595.238095238
PEP,2016,4507930.555555556
PEP,2017,3647684.860557769
PEP,2018,5047381.274900398
PEP,2019,4359099.206349206
PEP,2020,5048988.537549407
PEP,2021,4730473.015873016
PEP,2022,5125258.964143426
PEP,2023,4911939.6
SHOP,2015,5311076.433121019
SHOP,2016,7988087.301587301
SHOP,2017,20229968.12749004
SHOP,2018,17077087.64940239
SHOP,2019,19811000.0
SHOP,2020,25014067.19367589
SHOP,2021,12222896.825396825
SHOP,2022,31851510.75697211
SHOP,2023,14431796.0
CAT,2010,8552932.142857144
CAT,2011,8657510.317460317
CAT,2012,7026076.8
CAT,2013,5935508.333333333
CAT,2014,4990334.126984127
CAT,2015,6238179.365079365
CAT,2016,5463100.0
CAT,2017,4335005.179282868
CAT,2018,5504080.876494024
CAT,2019,4082935.3174603176
CAT,2020,3877690.118577075
CAT,2021,3359973.412698413
CAT,2022,3282194.422310757
CAT,2023,3059008.4
UBER,2019,18798274.233128835
UBER,2020,27679798.418972332
UBER,2021,23352206.34920635
UBER,2022,30004296.015936255
UBER,2023,24509993.2
