Ticker,StockPrice_x,NetEPS,PE,Year,StockPrice_y,BookValuePerShare,PB,DividendYield,MarketCap,ROE,NetIncome,ROA,TotalAssets,Volume,DebtToEquity
AMD,139.00333333333333,,112.47666666666667,2025,139.00333333333333,,3.806666666666666,,,4.385,,3.585,,,0.245
AMGN,38.455,,8.1675,2010,38.455,,1.57,0.0,20754880020.00544,20.34,,11.3825,,6684544.841269841,0.8
AMGN,40.095,,9.1625,2011,40.095,,1.5375,5.927229375863694e-05,20919275045.96448,17.1825,,9.37,,6931533.73015873,1.0125
AMGN,55.1,,10.97,2012,55.1,,2.1975,0.0001069959568485,29036827881.17821,20.52,,8.1575,,4599123.2,1.7425000000000002
AMGN,76.99,,12.39,2013,76.99,,2.7625,0.0001017268517909,40260018017.66682,23.7675,,8.775,,3913050.396825397,1.7075
AMGN,99.4825,,15.4325,2014,99.4825,,3.0675,0.000103278344013,51738642544.24862,21.34,,7.5275,,3562682.936507937,1.82
AMGN,114.9325,,14.28,2015,114.9325,,3.1675,0.0001064773917683,63599045736.40726,23.405,,8.865,,3544912.301587302,1.5750000000000002
AMGN,117.9025,,11.945,2016,117.9025,,2.9425,0.0001355805766784,64217243732.61215,25.8125,,10.07,,3423898.412698413,1.5675
AMGN,137.1975,,22.9075,2017,137.1975,,3.365,0.0001393469081772,72195646445.73462,21.3675,,8.3775,,3172862.151394422,1.6775
AMGN,153.4675,,36.1875,2018,153.4675,,6.97,0.0001402545704359,81837668022.34818,22.575000000000003,,5.3525,,3466831.87250996,3.775
AMGN,168.98250000000002,,13.2325,2019,168.98250000000002,,9.685,0.0001437139819025,87736697370.15883,68.25,,12.605,,2796368.253968254,4.7575
AMGN,198.1275,,15.9625,2020,198.1275,,11.425,0.000125457766756,106618120761.90536,72.65,,11.95,,2803086.5612648223,5.2975
AMGN,205.42,,19.69,2021,205.42,,14.485,0.0001373170430907,109621122946.68285,66.7625,,9.6925,,2658010.3174603176,6.7475000000000005
AMGN,222.0225,,19.1975,2022,222.0225,,60.4,0.0001362649930482,120627669634.4779,171.26,,10.48,,2980619.521912351,30.09
AMGN,240.7425,,17.3625,2023,240.7425,,20.085,0.0001455716446229,126406064006.29482,151.6225,,9.545,,2460316.4,13.33
AMGN,286.695,,41.3425,2024,286.695,,25.6275,,,61.1675,,4.109999999999999,,,14.39
AMGN,290.91,,29.016666666666666,2025,296.76,,25.705,,,95.43,,6.945,,,12.115
AMT,35.365,,42.4475,2010,35.365,,4.0925,0.0,16036986117.166298,9.87,,3.795,,3465153.9682539683,1.6775
AMT,40.635,,46.4925,2011,40.635,,4.640000000000001,3.206109925012857e-05,18604424560.44573,10.21,,3.39,,3334792.4603174604,2.2425
AMT,53.13,,37.1825,2012,53.13,,5.8100000000000005,6.842072220327946e-05,24130183016.55418,16.47,,4.68,,2512732.0,2.6275
AMT,58.1375,,39.4575,2013,58.1375,,6.295,7.432967121231442e-05,27366915800.656788,16.1,,4.0075,,2816645.634920635,3.6175
AMT,70.75,,40.055,2014,70.75,,6.87,7.865008093534583e-05,32835643454.62463,18.165,,3.54,,1988410.3174603172,4.105
AMT,73.55,,47.0675,2015,73.55,,4.4275,9.736940473804882e-05,35358446614.5025,11.135,,2.7175,,2375030.1587301586,2.78
AMT,87.6575,,49.9225,2016,87.6575,,5.4125,9.889409421546428e-05,39834385721.27384,11.11,,2.6875,,2216886.111111111,3.33
AMT,109.675,,44.715,2017,109.675,,6.64,9.551709630648244e-05,49970157712.27618,15.02,,3.345,,1982915.93625498,3.5775
AMT,124.5275,,47.075,2018,124.5275,,8.879999999999999,0.000103596662693,57112079258.76358,17.615000000000002,,3.4825,,2225403.984063745,4.3875
AMT,182.565,,51.985,2019,182.565,,13.955,8.12659289703911e-05,81395551288.34421,26.7525,,4.2425,,1730228.5714285714,5.9125
AMT,205.43,,49.57,2020,205.43,,21.6825,8.54574014196087e-05,98305872109.7633,39.432500000000005,,4.4675,,2078652.1739130437,9.1275
AMT,237.3375,,46.620000000000005,2021,237.3375,,15.5275,8.74066477790806e-05,107720429907.40524,40.8125,,4.47,,1800253.5714285714,7.39
AMT,211.705,,39.7,2022,211.705,,8.9625,0.0001158183520342,101673078707.55592,25.8075,,3.7625,,1948150.1992031876,5.1775
AMT,182.1425,,78.84,2023,182.1425,,7.3475,0.0001427341522225,84694304354.9104,9.5825,,1.7075,,2123144.8,4.735
AMT,195.5025,,52.6175,2024,195.5025,,8.932500000000001,,,18.52,,3.025,,,5.265000000000001
AMT,215.05666666666664,,91.28,2025,215.05666666666664,,9.783333333333331,,,15.52,,2.485,,,5.165
AMZN,7.275,,59.9075,2010,7.275,,10.4975,0.0,74195917976.97424,20.645,,8.86,,145792579.36507937,1.3025
AMZN,9.675,,102.055,2011,9.675,,11.465,0.0,104874369088.93275,12.625,,5.22,,115871317.46031746,1.58
AMZN,11.7025,,112.3175,2012,11.7025,,13.8575,0.0,117475809961.70552,3.075,,1.12,,83992328.0,2.1475
AMZN,15.6925,,451.035,2013,15.6925,,15.8625,0.0,158923847973.24542,0.56,,0.145,,59357595.23809524,2.5975
AMZN,16.175,,347.1475,2014,16.175,,14.2525,0.0,177331168233.66147,0.1499999999999999,,0.0574999999999999,,81671960.31746031,3.02
