Ticker,Year,PE,PB,ROE,ROA,DebtToEquity,DividendYield,MarketCap,Volume,Value_Score,Quality_Score,Risk_Score,Total_Score,Rank
RTX,2018,10.79,1.5525,15.015,4.82,2.19,0.000103016,91426033094.43774,7340353.239043824,0.1,0.2,0,0.12000000000000001,16
ABBV,2018,16.845,-11.915,354.345,9.735,-8.105,0.000207702,125772855149.65771,7082670.119521912,0.6000000000000001,0.8,0.8,0.7200000000000001,3
COP,2018,9.0675,1.965,12.9625,5.725,1.2225,8.924861789952232e-05,65315507081.67262,6633652.191,0,0.8,0.6,0.44000000000000006,11
UNP,2018,10.28,4.3525,45.235,17.189999999999998,1.7725,9.78208267533946e-05,72811171263.52986,4420870.517928286,0.4,1,0,0.56,9
SHEL,2018,10.2325,0.985,9.9975,4.9025,1.015,0.0003081,141683127748.51633,3625497.816733068,0.3,1,0.6,0.64,7
UNH,2018,18.115,4.0525,23.77,8.015,1.9575,5.934818257979848e-05,202041751733.33435,3296788.047808765,0.2,1,0.6,0.6000000000000001,8
NVO,2018,16.5175,3.1575,81.44,38.8525,1.1275,0.000106891,71422314679.04909,3070845.418326693,0.6000000000000001,0.4,0.30000000000000004,0.4600000000000001,10
PLD,2018,17.84,1.405,8.445,5.3675,0.5375,0.000144098,49202694091,2951862.151394422,0.3,1,0.8,0.68,5
PFE,2019,12.1175,2.59,22.3025,8.747499999999999,1.6225,0.000191677,162163743990.9424,24023468.55555556,0.3,0.8,0.4,0.52,4
INTC,2019,10.51,2.7175,27.3125,15.515,0.7675000000000001,0.000111875,196175638902.7676,21904659.92063492,0.3,1,0.4,0.6000000000000001,3
CSCO,2019,15.9125,5.1,30.4525,11.885,1.6875,0.000133888,166291106812.61334,20525362.698412698,0.1,1,0,0.44,7
CMCSA,2019,13.6425,2.1125,16.39,5.0825,2.265,6.893893167890569e-05,132720529461.12752,18087283.33333333,0.5,0.5,0,0.4,8
BMY,2019,14.2175,3.415,32.0375,12.025,1.86,0.000173624,81664471359.03494,15997196.42857143,0.8,1,0,0.7200000000000001,1
DIS,2019,17.5625,2.36,14.9875,7.422499999999999,1.1025,4.932615486255201e-05,229297185710.8856,10217799.603174604,0.5,0.2,0,0.28,9
